                                       ,                    Date                  ,                    Versus                  ,                    Ground                  ,                    D/N*                  ,                    How Dismissed                  ,                    Runs                  ,                    B/F                  ,                    S/R                  ,                    Aggr                  ,                    Avg                  ,                Cumulative    S/R                  
163,20/04/2018,                    Rajasthan Royals                  ,                    Maharashtra Cricket Association Stadium                  ,                    &check;                  ,                    c K Gowtham b S Gopal                  ,5,3,166.67,3675,37.89,136.92
164,22/04/2018,                    Sunrisers Hyderabad                  ,                    Rajiv Gandhi International Stadium                  ,                    &check;                  ,                    not out                  ,                    25*                  ,12,208.33,3700,38.14,137.24
165,25/04/2018,                    Royal Challengers Bangalore                  ,                    M Chinnaswamy Stadium                  ,                    &check;                  ,                    not out                  ,                    70*                  ,34,205.88,3770,38.87,138.1
166,28/04/2018,                    Mumbai Indians                  ,                    Maharashtra Cricket Association Stadium                  ,                    &check;                  ,                    c E Lewis b M J McClenaghan                  ,26,21,123.81,3796,38.73,137.99
167,30/04/2018,                    Delhi Capitals                  ,                    Maharashtra Cricket Association Stadium                  ,                    &check;                  ,                    not out                  ,                    51*                  ,22,231.82,3847,39.26,138.73
168,3/5/2018,                    Kolkata Knight Riders                  ,                    Eden Gardens                  ,                    &check;                  ,                    not out                  ,                    43*                  ,25,172,3890,39.69,139.03
169,5/5/2018,                    Royal Challengers Bangalore                  ,                    Maharashtra Cricket Association Stadium                  ,                    &check;                  ,                    not out                  ,                    31*                  ,23,134.78,3921,40.01,138.99
170,11/5/2018,                    Rajasthan Royals                  ,                    Sawai Mansingh Stadium                  ,                    &check;                  ,                    not out                  ,                    33*                  ,23,143.48,3954,40.35,139.03
171,13/05/2018,                    Sunrisers Hyderabad                  ,                    Maharashtra Cricket Association Stadium                  ,                    &check;                  ,                    not out                  ,                    20*                  ,14,142.86,3974,40.55,139.05
172,18/05/2018,                    Delhi Capitals                  ,                    Arun Jaitley Stadium                  ,                    &check;                  ,                    c S S Iyer b T A Boult                  ,17,23,73.91,3991,40.31,138.53
173,20/05/2018,                    Kings XI Punjab                  ,                    Maharashtra Cricket Association Stadium                  ,                    &check;                  ,                    not out                  ,                    16*                  ,7,228.57,4007,40.47,138.75
174,22/05/2018,                    Sunrisers Hyderabad                  ,                    Wankhede Stadium                  ,                    &check;                  ,                    b Rashid Khan                  ,9,18,50,4016,40.16,138.2
175,27/05/2018,                    Sunrisers Hyderabad                  ,                    Wankhede Stadium                  ,                    &check;                  ,                    did not bat                  ,                    -                  ,-                  ,-                  ,4016,40.16,138.2
176,23/03/2019,                    Royal Challengers Bangalore                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    did not bat                  ,                    -                  ,-                  ,-                  ,4016,40.16,138.2
177,26/03/2019,                    Delhi Capitals                  ,                    Arun Jaitley Stadium                  ,                    &check;                  ,                    not out                  ,                    32*                  ,35,91.43,4048,40.48,137.64
178,31/03/2019,                    Rajasthan Royals                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    not out                  ,                    75*                  ,46,163.04,4123,41.23,138.03
179,3/4/2019,                    Mumbai Indians                  ,                    Wankhede Stadium                  ,                    &check;                  ,                    c S A Yadav b H H Pandya                  ,12,21,57.14,4135,40.94,137.47
